"SOCIETE D’EXPLOITATION DES REJETS DE
KINGAMYAMBO (*)",METALKOL,SIMCO,5.00%,Gecamines à 99% et Kisenge Manganese à 1%
"SOCIETE D’EXPLOITATION DES REJETS DE
KINGAMYAMBO (*)",METALKOL,HIGH WIND PROPERTIES LTD,55.00%,N/C
"SOCIETE D’EXPLOITATION DES REJETS DE
KINGAMYAMBO (*)",METALKOL,PAREAS LIMITED,5.00%,N/A
"SOCIETE D’EXPLOITATION DES REJETS DE
KINGAMYAMBO (*)",METALKOL,INTERIM HOLDING LIMITED,5.00%,N/A
"SOCIETE D’EXPLOITATION DES REJETS DE
KINGAMYAMBO (*)",METALKOL,BLUE NARCISSUS LIMITED,5.00%,N/A
SOCIETE MINIERE DE KOLWEZI (*),SMK,ENTREPRISE MINIERE DE KOLWEZI SPRL,80.00%,"MMG AFRICA INVESTMENTS LIMITED 99,99% ANVIL MINING LIMITED 0,01%"
SOCIETE MINIERE DE KOLWEZI (*),SMK,GECAMINES,20.00%,N/A
SOCIETE D'EXPLOITATION DES GISEMENTS DE MALEMBA NKULU SPRL (*),SEGMAL,COMINIERE,32.00%,N/A
SOCIETE D'EXPLOITATION DES GISEMENTS DE MALEMBA NKULU SPRL (*),,MINING MINERAL RESOURCES,68.00%,"Mr. CHUG CHAITANYA (27.2%) Mr. DRHOLIA RAHIM (27.2%)
Mr. CHAG HITESH BHURDHARBHAI (13.6%)"
SOCIETE IMMOBILIERE DU CONGO (**),SIMCO,GECAMINES,99.00%,N/A
SOCIETE IMMOBILIERE DU CONGO (**),SIMCO,Kisenge Manganese,1.00%,N/A
